epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,35.0507,0.19655,4.18253,1.33492,0.87966,0.5,0.49713,0.29794,0.23732,6.59967,1.31897,0.0004218,0.0004218,0.0004218
32,36.0308,0.16793,3.0323,1.29961,0.87966,0.5,0.49713,0.29794,0.23732,6.59967,1.31897,0.000429722,0.000429722,0.000429722
33,36.9643,0.19667,3.19251,1.3411,0.94293,0.5,0.51583,0.30542,0.26988,6.05293,1.43024,0.000437248,0.000437248,0.000437248
34,37.9252,0.16281,3.25872,1.30777,0.94293,0.5,0.51583,0.30542,0.26988,6.05293,1.43024,0.000444378,0.000444378,0.000444378
35,38.96,0.189,4.59563,1.33153,0.64517,1,0.82833,0.30275,0.28154,4.72622,1.5134,0.000451112,0.000451112,0.000451112
36,39.971,0.21501,3.26755,1.43279,0.64517,1,0.82833,0.30275,0.28154,4.72622,1.5134,0.00045745,0.00045745,0.00045745
37,40.9763,0.1961,3.4684,1.34721,0.48895,0.96686,0.745,0.44678,0.26374,4.57809,1.45641,0.000463392,0.000463392,0.000463392
38,41.9351,0.20451,3.74039,1.32108,0.48895,0.96686,0.745,0.44678,0.26374,4.57809,1.45641,0.000468938,0.000468938,0.000468938
39,43.018,0.20585,3.37129,1.54794,0.4816,1,0.745,0.38652,0.27902,7.54669,1.51201,0.000474088,0.000474088,0.000474088
40,43.9252,0.20865,2.65517,1.44461,0.4816,1,0.745,0.38652,0.27902,7.54669,1.51201,0.000478842,0.000478842,0.000478842
41,44.8987,0.20303,3.83998,1.38868,1,0.95429,0.995,0.36628,0.26282,5.11728,1.41862,0.0004832,0.0004832,0.0004832
42,45.861,0.18688,2.46326,1.36944,1,0.95429,0.995,0.36628,0.26282,5.11728,1.41862,0.000487162,0.000487162,0.000487162
43,46.8318,0.20044,2.92176,1.36213,0.87383,0.5,0.695,0.36164,0.23771,10.1525,1.27124,0.000490728,0.000490728,0.000490728
44,47.7685,0.14033,2.49557,1.16531,0.87383,0.5,0.695,0.36164,0.23771,10.1525,1.27124,0.000493898,0.000493898,0.000493898
45,48.7444,0.24542,4.26139,1.56527,1,0.98506,0.995,0.44737,0.25524,7.58081,1.34527,0.000496672,0.000496672,0.000496672
46,49.6913,0.18809,2.35982,1.38329,1,0.98506,0.995,0.44737,0.25524,7.58081,1.34527,0.00049905,0.00049905,0.00049905
47,50.6739,0.18206,2.42916,1.20356,0.9727,1,0.995,0.597,0.23567,3.36884,1.18751,0.000501032,0.000501032,0.000501032
48,51.6358,0.16101,2.41515,1.22735,0.9727,1,0.995,0.597,0.23567,3.36884,1.18751,0.000502618,0.000502618,0.000502618
49,52.6438,0.18057,2.3676,1.20198,0.66531,0.5,0.56643,0.33279,0.24112,5.11549,1.33527,0.000503808,0.000503808,0.000503808
50,53.5639,0.16643,2.73428,1.17565,0.66531,0.5,0.56643,0.33279,0.24112,5.11549,1.33527,0.000504602,0.000504602,0.000504602
51,54.5125,0.16265,2.04505,1.25628,0.07762,0.5,0.05913,0.04052,0.19807,9.07137,1.59055,0.000505,0.000505,0.000505
52,55.5125,0.19608,2.00941,1.34694,0.07762,0.5,0.05913,0.04052,0.19807,9.07137,1.59055,0.000505002,0.000505002,0.000505002
53,56.451,0.195,1.83209,1.3176,0.07762,0.5,0.05913,0.04052,0.19807,9.07137,1.59055,0.000504608,0.000504608,0.000504608
54,57.4168,0.22194,2.70817,1.33281,0.45252,0.45252,0.27875,0.20618,0.21487,6.63573,1.53379,0.000503818,0.000503818,0.000503818
